name,muscleGroup1,muscleGroup2,muscleGroup3,instructions,isCardio,level,equipment
"Barbell Squat","Legs","Glutes","Lower Back","1. Stand with your feet shoulder-width apart and your toes pointing slightly outwards. 2. Hold the barbell on your upper back with your hands slightly wider than shoulder-width apart. 3. Keeping your back straight, bend your knees and lower your hips until your thighs are parallel to the floor. 4. Push back up to the starting position. Repeat for the desired number of repetitions.","No","Intermediate","Barbell"
"Dumbbell Bench Press","Chest","Shoulders","Triceps","1. Lie on a flat bench with your feet flat on the floor. 2. Hold a dumbbell in each hand at chest level with your palms facing forward. 3. Push the dumbbells straight up until your arms are fully extended. 4. Lower the dumbbells back down to chest level. Repeat for the desired number of repetitions.","No","Beginner","Dumbbells"
"Treadmill Running","Cardio","N/A","N/A","1. Start the treadmill and set the speed to your desired level. 2. Begin running on the treadmill. 3. Adjust the speed as necessary to maintain your desired intensity. 4. Run for the desired amount of time.","Yes","Intermediate","Treadmill"
"Plank","Abs","Obliques","Lower Back","1. Start on your hands and knees, with your wrists directly under your shoulders and your knees directly under your hips. 2. Step your feet back one at a time, so that you are in a high plank position with your body in a straight line from your head to your heels. 3. Engage your core and hold this position for the desired amount of time.","No","Beginner","N/A"
"Russian Twist","Abs","Obliques","Lower Back","1. Sit on the floor with your knees bent and your feet flat on the ground. 2. Lean back slightly, keeping your spine straight and your core engaged. 3. Hold a weight or medicine ball with both hands in front of your chest. 4. Twist your torso to the right, bringing the weight or ball towards your right hip. 5. Twist back to the left, bringing the weight or ball towards your left hip. Repeat for the desired number of repetitions.","No","Intermediate","Weight or medicine ball"
"Overhead Press","Shoulders","Triceps","Upper Chest","1. Stand with your feet shoulder-width apart and hold a barbell or dumbbells at shoulder level with your palms facing forward. 2. Press the weight overhead, fully extending your arms. 3. Lower the weight back down to shoulder level. Repeat for the desired number of repetitions.","No","Intermediate","Barbell or dumbbells"
"Bicep Curls","Biceps","Forearms","N/A","1. Stand with your feet shoulder-width apart and your arms hanging at your sides, holding a dumbbell in each hand with your palms facing forward. 2. Keeping your elbows close to your body, curl the dumbbells up towards your shoulders. 3. Pause at the top of the movement, then lower the dumbbells back down to the starting position. Repeat for the desired number of repetitions.","No","Beginner","Dumbbells"
"Tricep Extensions","Triceps","Shoulders","N/A","1. Stand with your feet shoulder-width apart and hold a dumbbell with both hands behind your head. 2. Fully extend your arms to raise the dumbbell overhead. 3. Lower the dumbbell back down behind your head. Repeat for the desired number of repetitions.","No","Intermediate","Dumbbell"
"Hammer Curls","Biceps","Forearms","N/A","1. Stand with your feet shoulder-width apart and your arms hanging at your sides, holding a dumbbell in each hand with your palms facing each other. 2. Keeping your elbows close to your body, curl the dumbbells up towards your shoulders. 3. Pause at the top of the movement, then lower the dumbbells back down to the starting position. Repeat for the desired number of repetitions.","No","Beginner","Dumbbells"
"Lateral Raises","Shoulders","N/A","N/A","1. Stand with your feet shoulder-width apart and hold a dumbbell in each hand at your sides. 2. Raise your arms out to the sides until they are parallel to the ground. 3. Lower your arms back down to your sides. Repeat for the desired number of repetitions.","No","Intermediate","Dumbbells"
"Squats","Quadriceps","Glutes","Hamstrings","1. Stand with your feet shoulder-width apart and your toes pointing forward. 2. Lower your hips back and down, as if you are sitting in a chair. 3. Keep your chest up and your weight in your heels as you lower yourself down. 4. Once your thighs are parallel to the ground, push through your heels to stand back up. Repeat for the desired number of repetitions.","No","Intermediate","Barbell or bodyweight"
"Lunges","Quadriceps","Glutes","Hamstrings","1. Stand with your feet hip-width apart. 2. Take a large step forward with your right foot, keeping your weight in your heel. 3. Lower your body down until both knees are bent at a 90-degree angle. 4. Push through your right heel to stand back up, then repeat with your left foot. Repeat for the desired number of repetitions.","No","Beginner","Bodyweight"
"Deadlifts","Hamstrings","Glutes","Lower Back","1. Stand with your feet shoulder-width apart and a barbell on the ground in front of you. 2. Bend down and grasp the barbell with your hands shoulder-width apart and your palms facing down. 3. Keep your back straight and your chest up as you stand up, lifting the barbell off the ground. 4. Lower the barbell back down to the ground. Repeat for the desired number of repetitions.","No","Intermediate","Barbell"
"Calf Raises","Calves","N/A","N/A","1. Stand with your feet hip-width apart and your hands on your hips. 2. Rise up onto the balls of your feet, lifting your heels as high as you can. 3. Lower your heels back down to the ground. Repeat for the desired number of repetitions.","No","Beginner","Bodyweight or dumbbells"
"Step-ups","Quadriceps","Glutes","Hamstrings","1. Stand in front of a step or bench. 2. Step up onto the step with your right foot, then bring your left foot up to meet it. 3. Step back down with your right foot, then your left foot. 4. Repeat with your left foot stepping up first. Repeat for the desired number of repetitions.","No","Intermediate","Step or bench"
"Bench Press","Chest","Triceps","Shoulders","1. Lie on a flat bench with your feet flat on the ground. 2. Grasp the barbell with your hands shoulder-width apart and lower it to your chest. 3. Press the barbell up until your arms are fully extended. 4. Lower the barbell back down to your chest. Repeat for the desired number of repetitions.","No","Intermediate","Barbell"
"Pullovers","Back","Chest","Triceps","1. Lie on a bench with your feet flat on the ground and your head hanging off the edge. 2. Grasp a dumbbell with both hands and hold it over your chest with your arms straight. 3. Lower the dumbbell back over your head until your arms are parallel to the ground. 4. Raise the dumbbell back up over your chest. Repeat for the desired number of repetitions.","No","Intermediate","Dumbbell"
"Push-ups","Chest","Triceps","Shoulders","1. Begin in a plank position with your hands on the ground shoulder-width apart. 2. Lower your body down towards the ground, keeping your elbows close to your sides. 3. Push through your hands to raise your body back up. Repeat for the desired number of repetitions.","No","Beginner","Bodyweight"
"Chin-ups","Back","Biceps","Forearms","1. Grasp a chin-up bar with your palms facing towards you and your hands shoulder-width apart. 2. Pull yourself up until your chin is above the bar. 3. Lower yourself back down to the starting position. Repeat for the desired number of repetitions.","No","Intermediate","Chin-up bar"
"Seated Cable Rows","Back","Biceps","Forearms","1. Sit in front of a cable machine with your feet flat on the ground and your knees slightly bent. 2. Grasp the handle with both hands and sit up straight. 3. Pull the handle towards your chest, squeezing your shoulder blades together. 4. Release the handle back to the starting position. Repeat for the desired number of repetitions.","No","Intermediate","Cable machine"
