Bar Dip;1: Grip a dip station about shoulder-width apart, and climb or jump to get into the starting position.#2: Lower yourself with control until your shoulder is below your elbow, or as deep as you comfortably can.#3: Reverse the motion and return to the starting position.;Chest#Front Deltoid#Triceps
Bench Press;1: Lie on the bench, pull your shoulder blades together and down, and slightly arch your back.#2: Grip the bar slightly wider than shoulder-width apart.#3: Inhale, hold your breath, and unrack the bar.#4: Lower the bar with control, until it touches your chest somewhere close to your sternum.#5: Push the bar up to the starting position while exhaling.#6: Take another breath while in the top position, and repeat for reps.;Chest#Front Deltoid#Triceps
Cable Chest Press;1: Fasten a pair of handles in the top position of a cable cross. Grip the handles, step forward, and lean slightly forward.#2: Push the handles forward until they meet in front of your body.#3: With control, let the handles go back to the starting position.;Chest#Front Deltoid#Triceps
Close-Grip Bench Press;1: Lie on the bench, pull your shoulder blades together and down, and slightly arch your back.#2: Grip the bar narrower than in a regular bench press so that your hands are directly above your shoulders or even closer.#3: Take a breath and hold it, and unrack the bar.#4: Lower the bar with control until it touches your chest somewhere where the ribs end.#5: Push the bar up to the starting position while exhaling.#6: Take another breath in the top position, and repeat for reps.;Triceps#Chest#Front Deltoid
Close-Grip Feet-Up Bench Press;1: Lie on the bench, pull your shoulderblades together and down, and raise your chest up.#2: Grip the bar narrower than in a regular bench press, so that your hands are directly above your shoulders or even closer.#3: Lift your feet up and hold them in the air.#4: Take a breath and hold it, and unrack the bar.#5: Lower the bar with control, until it touches your chest somewhere where the ribs end.#6: Take another breath in the top position, and repeat for reps.;Triceps#Chest#Front Deltoid
Decline Bench Press;1: Set a bench so that it is in decline, either by adjusting the backrest or by elevating the foot.#2: Lie down on the bench, pull your shoulder blades together and down, with a proud chest.#3: Grip the bar slightly wider than shoulder-width apart.#4: Take a breath and hold it, and unrack the bar.#5: Lower the bar with control until it touches your chest.#6: Push the bar up while exhaling.#7: Take another breath in the top position, and repeat for reps.;Chest#Triceps#Front Deltoid 
Dumbbell Chest Fly;1: Lie on a bench, and lift a pair of dumbbells up to the starting position.#2: With almost completely straight arms, lower the dumbbells out to your sides.#3: When you’ve lowered the dumbbells as deep as possible, reverse the motion and return the dumbbells to the starting position.#4: Repeat for reps.;Chest#Front Deltoid
Dumbbell Chest Press;1: Lie on a bench, and lift a pair of dumbbells up to the starting position.#2: Press the dumbbells up to straight arms, while exhaling.#3: Inhale at the top, or while lowering the dumbbells with control back to your shoulders.#4: Repeat for reps.;Chest#Front Deltoid#Triceps
Dumbbell Decline Chest Press;1: Set a bench so that it is in decline, either by adjusting the backrest or by elevating the foot.#2: Lie on a bench, and lift a pair of dumbbells to the starting position.#3: Press the dumbbells up to straight arms, while exhaling.#4: Inhale at the top, or while lowering the dumbbells with control back to your shoulders.#5: Repeat for reps.;Chest#Front Deltoid#Triceps
Dumbbell Floor Press;1: Sit on the floor with your legs straight and a pair of dumbbells beside you.#2: Pick the dumbbells up and place them in your hip creak.#3: Lay down while you bring the dumbbells up to your chest.#4: Press them dumbbells to straight arms, bend your knees, and place your feet flat on the floor.#5: Lower the dumbbells slowly until your upper arms hit the floor.#6: Reverse the motion and push the dumbbells up to straight arms again.#7: Gently drop the dumbbells to the floor to finish the set.;Chest#Front Deltoid#Triceps
Dumbbell Pullover;1: Lie down on a bench and lift a dumbbell up to almost straight arms above you.#2: Lower the dumbbell down behind your head, while keeping your arms almost completely straight, just with a slight bend in the elbows.#3: Reverse the motion and return the dumbbell to the starting position.;Chest#Lats
Feet-Up Bench Press;1: Lie on the bench, pull your shoulder blades together and down, and slightly arch your back.#2: Grip the bar slightly wider than shoulder-width apart.#3: Lift your feet up and hold them in the air.#4: Take a breath and hold it, and unrack the bar.#5: Lower the bar with control, until it touches your chest somewhere close to the sternum.#6: Push the bar up while exhaling.#7: Take another breath in the top position, and repeat for reps.;Chest#Front Deltoid#Triceps
Floor Press;1: Lie down on the floor with your eyes under the racked bar.#2: Grip the bar slightly wider than shoulder-width apart.#3: Inhale, pull your shoulder blades down and together, and unrack the bar.#4: Lower the bar slowly until your upper arms hit the floor.#5: Reverse the motion and push the bar up to straight arms again.;Chest#Front Deltoid#Triceps
Incline Bench Press;1: Sitting on an inclined bench, unrack a barbell and hold it on straight arms above your shoulders.#2: Inhale and lower the bar down to your chest.#3: Press the bar up to straight arms while exhaling.;Chest#Front Deltoid#Triceps
Incline Dumbbell Press;1: Adjust the incline of a bench to be around 30-45 degrees.#2: Sit down and lift a pair of dumbbells to the starting position.#3: Press the dumbbells up to straight arms while exhaling.#4: Inhale at the top or while lowering the dumbbells with control back to your shoulders.;Chest#Front Deltoid#Triceps
Incline Push-Up;1: Assume the starting position, with hands slightly wider than shoulder width apart.#2: Try to form a straight line from head to feet, and brace your abdomen slightly.#3: Lower yourself as deep as you can, while inhaling.#4: Reverse the motion when you’ve touched the elevation, and push yourself up to straight arms again while exhaling.#5: Repeat for reps.;Chest#Front Deltoid#Triceps#Abs
Kneeling Incline Push-Up;1: Assume the starting position on your knees, with your hands on an elevation (such as a step-board), slightly wider than shoulder width apart.#2: Try to form a straight line from head to knee, and brace your abdomen slightly.#3: Lower yourself as deep as you can, while inhaling.#4: Reverse the motion when you’ve touched the board, and push yourself up to straight arms again while exhaling.#5: Repeat for reps.;Chest#Front Deltoid#Triceps#Abs
Kneeling Push-Up;1: Assume the starting position, with hands slightly wider than shoulder width apart.#2: Try to form a straight line from head to knees, and brace your abdomen slightly.#3: Lower yourself as deep as you can, while inhaling.#4: Reverse the motion when you’ve touched the floor, and push yourself up to straight arms again while exhaling.#5: Repeat for reps.;Chest#Front Deltoid#Triceps#Abs
Machine Chest Fly;1: Adjust the back support and handles so that you can grip the handles at shoulder height and get a long range of motion.#2: With just a slight bend in the arms, push the handles forward until they meet in front of your body.#3: With control, let the handles go back to the starting position.;Chest#Front Deltoid
Machine Chest Press;1: Adjust the machine to the appropriate settings, sit down, and grip the handles.#2: Press the handles forward until your arms are straight.#3: Bring the handles back to the starting position with control.;Chest#Front Deltoid#Triceps
Pec Deck;1: Adjust the the back support and handles, so that you can lean your elbows against the pads while your upper arms are horizontal.#2: Push the pads forward until they meet in front of your body.#3: With control, let the pads go back to the starting position.;Chest#Front Deltoid
